source_ip,destination_ip,source_port,destination_port,protocol,packet_size,packet_count,flow_duration,tcp_flags,connection_frequency,connection_density,reputation_score,label,attack_category
192.168.1.70,203.0.113.21,42929,443,ICMP,115,6,7.4181,,4.0,2.0,4,0,Normal
192.168.1.97,203.0.113.36,49289,80,TCP,1449,6,7.4093,A,9.0,1.0,13,0,Normal
192.168.1.97,203.0.113.44,3106,80,TCP,255,3,2.1942,A,9.0,5.0,0,0,Normal
192.168.1.100,185.156.177.5,37805,443,TCP,1342,351,49.5187,A,1.0,1.0,97,1,Malware
192.168.1.68,203.0.113.42,53834,80,TCP,1493,8,4.2319,A,5.0,2.0,6,0,Normal
192.168.1.71,203.0.113.47,63755,80,ICMP,753,27,1.0311,,7.0,1.0,11,0,Normal
198.51.100.42,192.168.1.50,56565,80,TCP,74,3600,0.8729,S,843.0,1.0,96,1,DDoS
192.168.1.99,198.51.100.42,38861,8080,TCP,159,10,1.7463,PA,34.0,1.0,94,1,Botnet
203.0.113.195,192.168.1.20,30738,22,TCP,146,32,3.4365,PA,51.0,1.0,87,1,Brute Force
192.168.1.99,198.51.100.42,11732,8080,TCP,296,10,1.5744,PA,24.0,1.0,90,1,Botnet
192.168.1.15,203.0.113.42,53783,443,TCP,885,13,2.6847,A,4.0,5.0,10,0,Normal
203.0.113.195,192.168.1.50,14958,80,TCP,95,1643,1.143,S,751.0,1.0,93,1,DDoS
203.0.113.23,192.168.1.15,49980,80,TCP,3887,7,1.7338,PA,8.0,1.0,11,1,SQL Injection
192.168.1.91,203.0.113.47,57457,22,ICMP,377,6,6.2782,,7.0,5.0,2,0,Normal
203.0.113.195,192.168.1.20,26240,22,TCP,157,31,3.7268,PA,98.0,1.0,88,1,Brute Force
192.168.1.10,203.0.113.44,51394,443,TCP,760,23,1.1244,A,7.0,2.0,14,0,Normal
192.168.1.17,203.0.113.35,1236,80,TCP,603,26,9.7192,A,3.0,5.0,3,0,Normal
192.0.2.89,192.168.1.10,58074,2505,TCP,64,2,0.0765,S,326.0,99.0,79,1,Port Scan
203.0.113.24,192.168.1.15,35781,80,TCP,2780,9,0.6448,PA,6.0,1.0,40,1,SQL Injection
198.51.100.42,192.168.1.50,6185,80,TCP,85,4393,0.4711,S,821.0,1.0,98,1,DDoS
192.168.1.99,203.0.113.14,64224,443,UDP,1168,9,7.5551,,4.0,3.0,12,0,Normal
192.168.1.51,203.0.113.13,45043,443,TCP,828,23,4.3866,A,9.0,4.0,3,0,Normal
192.168.1.13,203.0.113.30,17270,443,UDP,195,10,3.3875,,10.0,5.0,7,0,Normal
